Year,Gini_Index,Education_Spending_%GDP,Unemployment_%,Country_Canada,Country_China,Country_France,Country_Germany,Country_India,Country_Indonesia,Country_Japan,Country_South Africa,Country_UK,Country_USA
2016,-0.6503290296190987,0.1430298258282631,-0.29930172343923106,False,False,False,False,False,False,False,False,False,True
2000,-1.2519775646056137,-0.2807403360365383,0.29916944854161487,False,False,False,False,False,False,False,False,False,False
2010,-1.051859921020335e-15,-1.470537624521198,1.4952829461017394,False,False,False,False,False,False,False,False,False,False
2000,-1.4072698206142327,-0.4393473468080971,2.1246870822733097,False,False,False,False,False,False,False,False,False,True
2014,-0.4285854561785186,-0.22309775940021223,0.24247401729023402,False,False,False,False,False,False,False,False,False,False
2020,-0.7951989256732174,-0.8557483652420511,-1.0619105469031807,False,False,False,False,True,False,False,False,False,False
2009,-0.22905210431688297,1.4524996372195829,0.5411634998433689,False,False,False,False,False,False,False,False,False,True
2006,0.6345092118544692,1.0179012287713551,-1.2745770773733403,False,False,False,False,True,False,False,False,False,False
2001,-0.5086740564102311,0.9033451920314126,-0.6762501962684472,False,False,False,False,True,False,False,False,False,False
2009,0.2058277700349204,-0.17767354160324572,-0.5647933234380961,False,False,False,False,False,False,False,False,False,True
2023,0.5831142543351926,-1.0772553132488087,1.9245863040287023,False,False,False,False,False,False,False,False,False,False
2003,-0.6129593754611924,1.2393621692691976,1.3269995884857355,False,False,False,False,True,False,False,False,False,False
2011,-0.6000788807943932,0.26539553930812554,1.1249477584723355,False,False,False,False,False,False,False,False,False,True
2018,1.142675580228472,0.6948821951399929,0.7338314258908492,False,False,False,False,True,False,False,False,False,False
2010,-0.14409959254624885,0.5439411100934752,-0.9533420708348758,False,False,False,False,True,False,False,False,False,False
2007,0.3786403254995468,0.24112680685456309,-5.777342493291899e-16,False,False,False,False,True,False,False,False,False,False
2017,0.37190968482017084,1.8983420284045327,1.726266901721207,False,False,False,False,True,False,False,False,False,False
2010,-1.1376579201143842,-0.7086836598556868,0.3696634051936025,False,False,False,False,False,False,False,False,False,False
2010,-0.7494079642233111,-0.3667748645097304,0.9381203888182409,False,False,False,False,True,False,False,False,False,False
2012,0.2598045380252234,1.5466281294031448,-1.6377204320813314,False,False,False,False,True,False,False,False,False,False
2002,-1.9098089635974358,0.01686272281878073,0.6373377778373732,False,False,False,False,True,False,False,False,False,False
2011,-0.26126335434703146,-0.1872212786362464,-1.0957206334485525,False,False,False,False,False,False,False,False,False,False
2002,-0.8421448942894862,-0.31190446288278356,-0.28253659423398453,False,False,False,False,True,False,False,False,False,False
2009,0.9127848718230596,0.6028666254368625,1.3204842744626704,False,False,False,False,True,False,False,False,False,False
2016,0.2338402658697795,-0.28862841947631157,0.2717281042538433,False,False,False,False,False,False,False,False,False,False
2021,0.984499629477528,-0.39878492443686014,0.7282151618722604,False,False,False,False,False,False,False,False,False,False
2001,-0.1083364281854039,0.5866897831288801,-0.2474879813022521,False,False,False,False,False,False,False,False,False,False
2016,-0.1747435612613477,0.027845896276152984,-1.9462243768757879,False,False,False,False,True,False,False,False,False,False
2015,-0.34442877716762,-1.054114132468541,-0.9795626915295549,False,False,False,False,False,False,False,False,False,False
2001,-0.5204199359302369,-0.03224278832867584,0.5967162976768294,False,False,False,False,False,False,False,False,False,False
2021,2.310971428640989,1.304640591428107,0.2595812224738572,False,False,False,False,True,False,False,False,False,False
2019,0.6433562024958942,0.6872522554732804,1.5550473302652243,False,False,False,False,False,False,False,False,False,False
2005,-1.0205917885390314,1.425766447509961,0.056526447123482766,False,False,False,False,True,False,False,False,False,False
2009,2.2706930467503246,-0.7811995883244186,-0.9381159408341901,False,False,False,False,False,False,False,False,False,True
2009,-0.43329523146576904,0.9864396451573912,-0.09219832548469319,False,False,False,False,False,False,False,False,False,False
2007,0.21166730903854047,-0.699973844432425,0.9065857000206311,False,False,False,False,False,False,False,False,False,True
2000,0.7609808411491328,-1.2728659928390764,-1.7814103623064803,False,False,False,False,True,False,False,False,False,False
2012,-1.4396216975654343,-0.8516133518187907,0.2702498176129295,False,False,False,False,False,False,False,False,False,False
2023,-0.8084307886415794,0.06528125523903221,-1.2968729420219154,False,False,False,False,True,False,False,False,False,False
2008,1.3903423142794442,0.9449567603981301,0.0917592760424735,False,False,False,False,False,False,False,False,False,True
2021,-0.2732818561828824,0.2409191778979635,0.6417949103443189,False,False,False,False,True,False,False,False,False,False
2009,0.8134502420559765,-0.21405504790080981,0.4714656205511981,False,False,False,False,False,False,False,False,False,False
2014,-0.47636353389175207,-1.07645029694161,1.240824580411075,False,False,False,False,False,False,False,False,False,False
2004,-0.1580188066258464,0.628405690452022,0.1776384252356669,False,False,False,False,False,False,False,False,False,True
2021,1.5121097605090306,0.8818380052376896,0.4341042336621798,False,False,False,False,True,False,False,False,False,False
2015,0.31502042399780955,0.22901536836823017,0.4682265264355382,False,False,False,False,False,False,False,False,False,False
2012,-0.3798848331533557,-1.0961792628018874,-1.0131675955167807,False,False,False,False,False,False,False,False,False,True
2021,-0.6805601393100894,0.729838740060962,-0.19138290958972176,False,False,False,False,False,False,False,False,False,False
2019,-0.5992989054272139,1.1405008392705303,-2.4662517789390024,False,False,False,False,False,False,False,False,False,False
2017,1.02918912970362,1.4405207674658858,0.3007239398374573,False,False,False,False,True,False,False,False,False,False
2010,0.6063431387122586,-0.4931199383602617,-2.7517350530403752,False,False,False,False,False,False,False,False,False,False
2008,-1.0938590875223904,0.36444015472927554,-5.777342493291899e-16,False,False,False,False,True,False,False,False,False,False
2015,0.0038481799045890124,-0.5881330302648117,1.5461456004953733,False,False,False,False,False,False,False,False,False,False
2001,-0.13293278249153892,-0.9686668359687715,0.41960982154664,False,False,False,False,False,False,False,False,False,True
2001,0.20717361571889603,1.4897639475571645,0.5702096019407085,False,False,False,False,False,False,False,False,False,False
2011,-0.609687245697335,0.49028961582106817,1.108600232458753,False,False,False,False,True,False,False,False,False,False
2007,0.9015040481755202,1.2047714845673858,-0.49126978435055124,False,False,False,False,True,False,False,False,False,False
2008,-0.07477484220995097,-1.2654405282789782,-1.30858185302199,False,False,False,False,False,False,False,False,False,True
2011,0.2581072926601728,0.21933640883227934,-0.1508995071981415,False,False,False,False,False,False,False,False,False,False
2008,-0.7705602667253952,0.43508000625155846,-0.8113917548339421,False,False,False,False,False,False,False,False,False,False
2009,-0.725814495217696,-0.880180546817945,0.007896110849334791,False,False,False,False,False,False,False,False,False,True
2001,2.2868605811225935,1.3961922600338061,0.18154847096215504,False,False,False,False,False,False,False,False,False,False
2015,1.5252758739484154,-0.30455829179604393,-0.533601457389651,False,False,False,False,False,False,False,False,False,False
2019,-0.13547724906188127,0.38144456997699494,-0.7633812558166307,False,False,False,False,True,False,False,False,False,False
2006,1.288054498301982,-0.6035638048141226,-2.1688010851312707,False,False,False,False,False,False,False,False,False,False
2001,1.0035884880727852,-1.2355951730141939,-0.2317157832448682,False,False,False,False,False,False,False,False,False,False
2000,-0.6289081759363497,0.8322266487928939,-0.49323554828181715,False,False,False,False,False,False,False,False,False,True
2018,-0.7174830788009803,0.3082830317102044,-0.4240494624476724,False,False,False,False,False,False,False,False,False,True
2003,0.5203444987906147,0.16913158460108854,0.6468603666270122,False,False,False,False,True,False,False,False,False,False
2023,0.15740493856454624,-0.33659264335454075,1.850530701383881,False,False,False,False,False,False,False,False,False,False
2021,-0.43065250362102714,0.28155409433471745,-0.41521059523419024,False,False,False,False,False,False,False,False,False,False
2001,0.5670202160134541,1.1787600016930417,0.3096735783614086,False,False,False,False,False,False,False,False,False,False
2013,-1.3548227558365413,-0.734602590005652,0.18086645554542355,False,False,False,False,True,False,False,False,False,False
2001,0.028561008495915797,0.4860758701424848,1.0400840525352746,False,False,False,False,True,False,False,False,False,False
2014,-1.174018002772744,0.13502408243288383,-0.9566286995187323,False,False,False,False,False,False,False,False,False,True
2011,-1.144766973699981,-0.24460226860388826,-0.9854254021318821,False,False,False,False,True,False,False,False,False,False
2004,-0.7013455913399135,-1.6782572539350482,-0.8717427155821755,False,False,False,False,False,False,False,False,False,False
2019,0.2490925666880343,-0.07542382121921987,-2.2794240944618602,False,False,False,False,False,False,False,False,False,False
2006,-0.673342088676956,0.5963769616752312,-0.11188838868274142,False,False,False,False,True,False,False,False,False,False
2023,-1.1555297308093875,0.25422092164014065,-1.094077159392146,False,False,False,False,False,False,False,False,False,False
2020,0.35031545741565123,-1.4752664988416326,0.17807459444911444,False,False,False,False,False,False,False,False,False,False
2009,1.2522976402255017,1.1599385697637679,-2.4012928959854634,False,False,False,False,True,False,False,False,False,False
2013,0.49385237651193237,1.5532624940578936,-0.12262526578661727,False,False,False,False,True,False,False,False,False,False
2013,1.526802516159902,-0.17109434155456912,-0.3169483344291824,False,False,False,False,False,False,False,False,False,False
2004,1.1780705655851509,2.203943341152675,-0.598724613492881,False,False,False,False,False,False,False,False,False,False
2017,-0.5065271717583116,-0.8776015649788546,0.9069539060489545,False,False,False,False,False,False,False,False,False,False
2023,0.48790966040989797,-1.3118251020516765,-0.8520630684979942,False,False,False,False,False,False,False,False,False,True
2013,-0.15497327846872755,-1.059387833277305,0.22935180000173977,False,False,False,False,False,False,False,False,False,True
2001,0.8697895318417262,0.17687029688195824,-0.6834823408359411,False,False,False,False,False,False,False,False,False,True
2011,-0.1551338358205826,-1.8085508417851648,1.5517358654316882,False,False,False,False,True,False,False,False,False,False
2021,-0.7741187162132098,-0.36872085590928066,-0.20063346250598574,False,False,False,False,False,False,False,False,False,True
2023,1.1462968755406824,2.8156885087026313,0.592389082222053,False,False,False,False,True,False,False,False,False,False
2005,0.20868605444592941,-1.5391912975215747,0.5278788271462294,False,False,False,False,True,False,False,False,False,False
2003,-0.6629434354579528,-0.6004741685095561,1.0507962470545353,False,False,False,False,False,False,False,False,False,True
2012,-0.5165623222661154,-1.0802346408242387,0.07553328272564927,False,False,False,False,False,False,False,False,False,True
2003,-0.6686200047782666,-0.34311605100462095,-1.3524561234807384,False,False,False,False,False,False,False,False,False,True
2021,-0.9633541130061378,-0.4052644821667885,0.36521902229166864,False,False,False,False,False,False,False,False,False,False
2013,-0.4977223944431261,-0.7206223205364238,0.2034048620775123,False,False,False,False,False,False,False,False,False,True
2015,0.25773841282455173,-0.21702125854647963,-3.0294195185136945,False,False,False,False,False,False,False,False,False,False
2003,-1.051859921020335e-15,0.5576367816441509,-1.6983078255021307,False,False,False,False,True,False,False,False,False,False
2023,-0.4628168924892976,1.2956277304205206,0.6217904083496558,False,False,False,False,False,False,False,False,False,False
2000,1.2547494953490437,-0.34273177053986204,1.3188869189328385,False,False,False,False,False,False,False,False,False,True
2012,-1.8594635838446163,-0.05798058119240343,-0.14769176796008487,False,False,False,False,True,False,False,False,False,False
2003,0.19832977094874799,0.39088412421110796,0.7225717122174606,False,False,False,False,True,False,False,False,False,False
2019,-0.20038643366863274,-1.2761878002900449,0.03950696396224363,False,False,False,False,True,False,False,False,False,False
2017,-0.9353164831503835,-0.21343623404705858,-0.031478149145722716,False,False,False,False,False,False,False,False,False,False
2005,0.250129177305067,-0.5596773432689843,-0.2067015320661261,False,False,False,False,False,False,False,False,False,True
2002,-0.2687693145783183,0.870368249736808,0.011760356902393956,False,False,False,False,True,False,False,False,False,False
2022,1.0340862553907681,1.6552131090962117,0.31196880886305023,False,False,False,False,True,False,False,False,False,False
2012,0.6974448062919391,-0.8261013038599717,-0.4589573619651631,False,False,False,False,True,False,False,False,False,False
2015,1.6194719555740682,1.1922540759442266,1.1494119168985224,False,False,False,False,False,False,False,False,False,False
2004,-0.5028763504820946,-1.494594376406946,-1.042907734718975,False,False,False,False,False,False,False,False,False,False
2003,1.1668578028529333,0.13324168940718356,1.5928167563163762,False,False,False,False,False,False,False,False,False,True
2020,-1.1091169954333517,0.19144882462838556,-0.2772575521802241,False,False,False,False,False,False,False,False,False,False
2007,-0.1718544644511299,-1.519655879667874,-0.11777141634594794,False,False,False,False,True,False,False,False,False,False
2018,-0.4868254942371172,-0.8764992853780912,-0.6794199398265105,False,False,False,False,False,False,False,False,False,True
2013,0.4615168271682722,-0.9719630482699789,0.33247478562514643,False,False,False,False,True,False,False,False,False,False
2006,0.4400489708150677,-1.3503860305079791,-0.43451024622888196,False,False,False,False,True,False,False,False,False,False
2013,-0.8735306730664414,-2.679717791893783,-0.5308765313659897,False,False,False,False,False,False,False,False,False,False
2005,0.5110320335735025,-0.26700757229283156,0.5310787615119402,False,False,False,False,False,False,False,False,False,True
2011,-0.41154204659408583,-0.14879835236915132,1.0659674326781596,False,False,False,False,False,False,False,False,False,False
2015,-1.051859921020335e-15,-0.15650228474905056,-1.0837901752916834,False,False,False,False,False,False,False,False,False,False
2016,-0.08404967678312095,0.6876446899844392,0.7385208950218484,False,False,False,False,False,False,False,False,False,True
2012,-1.3853429806650266,-1.9650336475263712,1.150574808095674,False,False,False,False,True,False,False,False,False,False
2022,0.7536166167182399,-0.4375386947115249,-1.7891160330937246,False,False,False,False,True,False,False,False,False,False
2013,-0.12298860864886903,2.448162557006232,-0.8925208815525363,False,False,False,False,False,False,False,False,False,True
2006,-0.10355869989797742,0.8064173031954257,1.1270991990199448,False,False,False,False,True,False,False,False,False,False
2013,-0.15100813107971456,0.8120176848528691,0.2970892209595783,False,False,False,False,False,False,False,False,False,True
2014,1.3891745420862722,-1.061127145489105,1.6007647684894075,False,False,False,False,False,False,False,False,False,True
2011,1.2755073160068693,-0.2558754613428518,-0.24000315761702085,False,False,False,False,False,False,False,False,False,False
2016,1.1261833416204123,-2.3202524728062017,-0.580253355219914,False,False,False,False,False,False,False,False,False,True
2008,-0.1491206857592945,0.5108112722624372,1.2612893344001301,False,False,False,False,False,False,False,False,False,False
2021,-1.0645019968919516,1.3102996583901148,-0.882314778776191,False,False,False,False,True,False,False,False,False,False
2014,-0.08777848237499766,-1.4861808524341102,-0.30513555722148566,False,False,False,False,True,False,False,False,False,False
2011,0.2056704431477655,-1.2007402416320383,0.4788905259070198,False,False,False,False,True,False,False,False,False,False
2001,0.6481888015668765,-0.09508243192517091,0.5754661789044689,False,False,False,False,True,False,False,False,False,False
2004,0.2028124462381439,0.08675331569997603,-0.8452758213529484,False,False,False,False,False,False,False,False,False,False
2012,-0.9853346736549445,-0.5951914226356726,0.18735019050954832,False,False,False,False,True,False,False,False,False,False
2019,-0.5491502574850404,-0.8636877156998732,-0.3508374574919041,False,False,False,False,False,False,False,False,False,True
2022,-0.6297302224833978,-0.853176920415365,-1.7088484515762699,False,False,False,False,False,False,False,False,False,True
2007,0.40521066958439217,-0.11176572790039777,-0.5168797738123458,False,False,False,False,False,False,False,False,False,True
2013,0.42701141906274476,0.5114538386711212,-1.661586731059455,False,False,False,False,False,False,False,False,False,False
2014,0.5433983976463095,-0.11203167943951975,-0.710439404592769,False,False,False,False,True,False,False,False,False,False
2010,0.19379981185080464,-0.20579159408864478,-1.2394080644907333,False,False,False,False,True,False,False,False,False,False
2000,-1.902600749932029,-1.7898160048574017,0.6880248264788165,False,False,False,False,True,False,False,False,False,False
2020,-1.6065227313850183,0.7870906110613708,0.22606593417190907,False,False,False,False,False,False,False,False,False,False
2002,-0.1981022746457259,-0.11408033474950265,1.4342421302431005,False,False,False,False,False,False,False,False,False,True
2016,0.013529177109073526,-0.49206930767982826,-0.9663731961181051,False,False,False,False,False,False,False,False,False,True
2018,1.0399414875630522,0.18668175326728412,0.05327981749543718,False,False,False,False,True,False,False,False,False,False
2013,-0.004486320940013532,-0.8915929735280907,-1.1431793063433193,False,False,False,False,False,False,False,False,False,True
2021,-0.9404398070745237,-0.47169302317761497,-0.68323971383791,False,False,False,False,False,False,False,False,False,True
2022,0.5145605934115479,0.041906788272095145,-0.4567632970038239,False,False,False,False,False,False,False,False,False,False
2007,-0.0889085161053921,-0.7294465989639445,1.8586993745477043,False,False,False,False,False,False,False,False,False,False
2012,-0.43069706474015346,-1.6783737608544242,0.2880488639360257,False,False,False,False,False,False,False,False,False,False
2019,-1.5076994967682782,-1.8381080221665396,-0.1916600596764582,False,False,False,False,False,False,False,False,False,False
2002,0.0020792529572726767,0.37369076065881884,0.9857955636166212,False,False,False,False,True,False,False,False,False,False
2004,0.129654625311565,-0.09418047811867462,0.5896446559522681,False,False,False,False,False,False,False,False,False,False
2008,-0.9583790968156976,-0.1288762107822184,-0.12172161817653668,False,False,False,False,False,False,False,False,False,True
2005,0.587565774564986,-1.203603743898679,0.5917900020307035,False,False,False,False,True,False,False,False,False,False
2021,0.5080162043626905,-0.08381967142842305,-0.3653316995780537,False,False,False,False,False,False,False,False,False,True
2001,-0.03014029921104079,-0.4565781310627459,2.8461068013405253,False,False,False,False,False,False,False,False,False,True
2012,-0.06317283503610854,-0.6524303944861415,1.1233732387160829,False,False,False,False,False,False,False,False,False,True
2004,0.7667012898536362,-0.13729580727762475,-0.46371617103372426,False,False,False,False,False,False,False,False,False,False
2007,0.2528613524213255,0.22719754762173625,0.6737966667311293,False,False,False,False,False,False,False,False,False,False
2022,-0.6973403194387897,1.6533268068784384,0.46855487068996493,False,False,False,False,True,False,False,False,False,False
2000,-0.24913978789299596,0.4910020780165106,0.2092307972010427,False,False,False,False,True,False,False,False,False,False
2019,0.4210176869301204,0.7777732568123463,0.4352782945238804,False,False,False,False,False,False,False,False,False,False
2011,-1.8787267403912356,1.0202173303347184,-0.859699782650701,False,False,False,False,False,False,False,False,False,True
2022,-0.9009823042801443,-0.8133067009378915,-0.491489741997948,False,False,False,False,True,False,False,False,False,False
2010,5.74073619239632,-0.3785049851946476,1.5513947984015215,False,False,False,False,False,False,False,False,False,False
2006,1.0001600513535316,-0.951544215752944,0.13206145750955461,False,False,False,False,False,False,False,False,False,False
2014,0.8333273100802518,-0.7326523447287461,-0.7502399922838212,False,False,False,False,False,False,False,False,False,False
2021,0.7198528002464188,-0.48384321684273063,-0.20377716326403883,False,False,False,False,False,False,False,False,False,True
2023,0.04165539707348331,-0.7560373700282965,-0.5882024926299312,False,False,False,False,False,False,False,False,False,False
2010,-0.9874745063576155,0.15622971886984013,0.8089162244511505,False,False,False,False,False,False,False,False,False,False
2021,-0.24822945542015837,0.3610435521139342,-0.6142150378475738,False,False,False,False,False,False,False,False,False,False
2015,-1.8440402124187447,-1.3452283530923927,-0.023938824545817233,False,False,False,False,False,False,False,False,False,False
2002,1.081679235461981,-0.3698678626337365,-0.713424811453006,False,False,False,False,True,False,False,False,False,False
2019,-0.7993585435889554,-0.3591236334368166,2.0872688597333657,False,False,False,False,True,False,False,False,False,False
2013,-0.5473119061338613,-1.5083642560519033,0.5469318865877303,False,False,False,False,False,False,False,False,False,False
2002,0.866697890468473,-0.8153895602910747,0.5082698750869856,False,False,False,False,False,False,False,False,False,True
2000,-1.5077239663751054,0.7933639890590855,0.6138735662322516,False,False,False,False,True,False,False,False,False,False
2020,-1.1300325953399986,0.780731369199401,-0.4520345400360139,False,False,False,False,False,False,False,False,False,False
2014,0.16443135980593832,-1.6621983530389886,1.4173099455327796,False,False,False,False,True,False,False,False,False,False
2000,0.38862532229105584,0.399590380293118,-0.1330380700748806,False,False,False,False,True,False,False,False,False,False
2016,-0.13727112027225058,-1.5062851659127028,1.6627365610926084,False,False,False,False,False,False,False,False,False,True
2001,-0.10829954887792102,-0.45758659785509415,-0.3839148502627885,False,False,False,False,False,False,False,False,False,False
2019,1.0530092579924943,-0.15914543345847565,0.6310977052635582,False,False,False,False,False,False,False,False,False,False
2005,0.49160342137027524,0.6749572096433163,0.09576849081631751,False,False,False,False,False,False,False,False,False,True
2007,0.37156225188597,-0.23496054310834766,0.19414202598411745,False,False,False,False,False,False,False,False,False,True
2015,0.6153569257623833,-1.0584465127156042,-1.6964479734574136,False,False,False,False,False,False,False,False,False,False
2018,-0.3405745876592576,-1.2253260822918404,-1.0263156051260587,False,False,False,False,False,False,False,False,False,False
2000,1.8566568486676567,0.1011715444631748,1.4062718685184046,False,False,False,False,False,False,False,False,False,True
